
Equipo         : CLASIFICADOR_ESPIRAS_05 
Lugar          : -37.1258, -58.5592      
Descripcion    : RP50 Ayacucho           
Fecha Inicio   : 12/12/24 14:33:06       
Archivo        : REG00225.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Ranchos - Ayacucho      
        VIA 2  : Ayacucho - Ranchos      
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
14:33:21 1 0 1 063 0501 1.05
14:33:35 1 0 2 019 0835 0.40
14:33:39 1 0 2 042 0479 1.11
14:34:19 1 0 1 083 0529 1.00
14:34:22 1 0 1 079 0504 0.65
14:35:21 1 0 2 080 0582 0.77
14:36:04 1 0 1 072 0563 0.89
14:38:30 1 0 1 099 0475 0.99
14:38:52 1 0 2 047 1993 0.34
14:39:30 1 0 2 066 0410 0.73
14:40:49 1 0 1 038 2160 0.43
14:43:13 1 0 1 084 0589 0.88
14:43:51 1 0 2 043 0441 0.90
14:44:30 1 0 1 062 0625 0.88
14:44:42 1 0 1 064 0501 0.96
14:44:47 1 0 1 068 0502 1.34
14:45:40 1 0 2 049 1860 0.26
14:51:21 1 0 2 059 0467 1.10
14:52:01 1 1 2 000 0000 0.53
14:52:03 1 3 2 000 0000 0.14
14:55:14 1 0 2 075 0554 0.71
14:55:53 1 0 2 021 0408 0.52
14:55:59 1 0 2 050 0452 1.23
14:56:46 1 0 1 053 0440 0.86
14:57:18 1 0 1 060 0454 1.23
14:59:52 1 0 1 072 0501 0.64
15:03:37 1 0 2 025 0796 0.38
15:04:15 1 0 2 072 0472 0.97
15:06:12 1 0 2 065 0518 1.06
15:06:27 1 0 1 112 0477 0.87
15:07:15 1 0 1 065 0507 1.09
15:08:16 1 0 2 013 0803 0.31
15:08:22 1 0 2 040 1447 0.97
15:09:17 1 0 1 063 0480 0.89
15:09:28 1 0 2 051 1451 0.49
15:09:33 1 0 2 058 1465 0.45
15:10:39 1 0 2 061 0536 0.73
15:12:09 1 0 2 029 0808 0.33
15:15:23 1 0 2 069 0519 1.09
15:16:18 1 0 1 077 0468 1.00
15:18:08 1 0 2 060 0445 0.21
15:19:40 1 3 2 000 0000 0.09
15:22:47 1 0 2 069 0507 0.88
15:22:51 1 0 2 066 0567 0.72
15:25:54 1 0 2 067 0523 1.00
15:26:20 1 0 1 101 0487 0.46
15:27:52 1 0 1 067 0553 0.66
15:28:14 1 0 2 064 0549 0.64
15:29:46 1 0 1 077 0579 0.66
15:30:23 1 0 2 031 1981 0.34
15:30:41 1 0 1 071 0573 0.69
15:32:45 1 0 1 056 1825 0.45
15:32:56 1 0 1 095 0586 0.81
15:35:00 1 0 2 067 0494 1.18
15:36:18 1 0 1 066 0766 0.31
15:36:44 1 0 1 066 0518 0.99
15:36:45 1 0 2 073 0520 1.09
15:38:46 1 0 1 053 0560 0.72
