
Equipo         : CLASIFICADOR_ESPIRAS_02 
Lugar          : -34.8907, -57.9107      
Descripcion    : Tiro Federal sentido LP 
Fecha Inicio   : 16/12/24 12:51:33       
Archivo        : REG03322.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : LP lenta                
        VIA 2  : LP rapida               
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
12:51:33 1 0 2 096 0470 1.13
12:51:36 1 0 1 071 0582 0.97
12:51:39 1 0 2 081 0516 0.79
12:51:41 1 0 2 080 0516 1.14
12:51:42 1 0 2 082 0471 0.92
12:51:48 1 0 2 078 1240 0.76
12:51:50 1 0 1 057 0555 0.92
12:51:50 1 0 2 081 0621 1.08
12:51:55 1 0 1 066 0482 0.97
12:51:58 1 0 2 092 0512 1.34
12:52:00 1 0 1 063 0531 1.10
12:52:03 1 0 2 068 0443 0.99
12:52:10 1 0 1 065 0471 1.11
12:52:18 1 0 1 081 0459 1.10
12:52:25 1 0 2 079 0468 1.01
12:53:01 1 0 1 053 0498 1.39
12:53:04 1 0 1 055 0462 1.07
12:53:04 1 0 2 070 0500 0.97
12:53:06 1 0 2 080 0523 0.95
12:53:16 1 0 2 061 0507 1.31
12:53:16 1 0 1 064 0527 1.02
12:53:19 1 0 2 084 0500 1.02
12:53:22 1 0 2 076 0470 1.05
12:53:27 1 0 1 063 0510 1.02
12:53:29 1 0 2 082 0451 1.08
12:53:34 1 0 2 084 0461 1.16
12:53:36 1 0 1 057 0499 1.07
12:53:37 1 0 2 071 0469 0.68
12:53:43 1 0 1 066 0500 1.30
12:53:44 1 0 2 068 0446 0.99
12:53:46 1 0 2 069 0459 1.06
12:53:50 1 0 2 088 0518 1.01
12:53:50 1 0 1 069 0502 1.21
12:53:53 1 0 2 081 0495 1.21
12:53:53 1 2 1 000 0000 0.12
12:53:55 1 0 1 060 0465 1.08
12:53:58 1 0 2 072 0504 1.35
12:54:05 1 0 1 082 0563 1.08
12:54:09 1 0 2 098 0477 1.17
12:54:10 1 0 1 046 0096 0.07
12:54:22 1 0 1 045 0521 1.30
12:54:24 1 0 2 075 0492 1.00
12:54:26 1 0 1 053 0527 1.11
12:54:26 1 0 1 054 0475 1.29
12:54:27 1 0 2 079 0506 0.80
12:54:29 1 0 1 062 0463 1.18
12:54:40 1 0 2 069 0418 0.51
12:54:42 1 0 2 085 0508 1.16
12:54:44 1 0 1 052 0853 0.28
12:54:50 1 0 1 050 0486 0.96
12:54:57 1 0 1 071 0479 0.82
12:55:00 1 0 1 052 0466 1.29
12:55:02 1 0 2 075 0783 0.43
12:55:19 1 0 2 092 0483 0.69
12:55:33 1 0 2 071 0467 0.85
12:55:34 1 0 2 073 0507 1.17
12:55:36 1 0 2 065 1185 0.96
12:55:40 1 0 2 058 0406 0.15
