
Equipo         : CLASIFICADOR_ESPIRAS_03 
Lugar          : -35.0498, -58.1190      
Descripcion    : RP06_KM0                
Fecha Inicio   : 16/12/24 09:53:38       
Archivo        : REG00753.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : via Rapida              
        VIA 2  : via Lenta               
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
09:53:46 1 0 2 128 0564 0.36
09:54:00 1 0 2 087 0554 0.84
09:54:20 1 0 2 064 2028 0.44
09:54:23 1 0 2 096 0240 0.07
09:54:23 1 0 1 094 0231 0.07
09:54:49 1 0 1 097 0543 0.95
09:55:05 1 0 2 085 0544 0.95
09:55:07 1 0 2 084 0497 1.12
09:55:11 1 0 2 079 0551 1.09
09:55:16 1 0 1 111 0436 0.70
09:55:38 1 0 2 111 0546 0.95
09:55:43 1 0 1 107 0513 1.00
09:55:45 1 0 2 097 0526 0.97
09:55:49 1 0 2 133 0538 0.52
09:55:49 1 0 1 094 0438 0.92
09:56:11 1 0 1 113 0535 1.17
09:56:11 1 0 2 101 2041 0.49
09:56:16 1 0 2 087 0512 1.04
09:56:26 1 0 2 082 1811 0.42
09:56:26 1 0 1 117 0486 1.11
09:56:28 1 0 2 101 0478 0.78
09:56:38 1 0 2 121 0575 1.06
09:57:02 1 0 1 122 0533 0.66
09:57:21 1 0 2 093 0964 0.53
09:57:28 1 0 1 090 0456 0.60
09:57:41 1 0 1 109 0475 0.73
09:57:41 1 0 2 068 2006 0.42
09:58:02 1 0 2 103 0483 1.05
09:58:23 1 0 2 079 2051 0.48
09:58:24 1 0 1 110 0471 1.11
09:58:27 1 0 1 124 0596 0.77
09:58:27 1 0 2 104 0514 1.37
09:58:33 1 0 1 137 0560 0.83
09:58:37 1 0 2 104 0503 1.11
09:58:46 1 0 1 109 0527 1.18
09:58:58 1 0 2 097 0650 0.87
09:59:07 1 0 2 089 0497 0.93
09:59:17 1 0 1 103 0494 0.73
09:59:21 1 0 1 101 0440 0.53
09:59:41 1 0 1 146 0342 0.15
09:59:58 1 0 2 092 2050 0.42
10:00:18 1 0 2 116 0527 0.85
10:00:20 1 0 2 090 0467 0.89
10:00:24 1 0 1 107 0600 0.79
10:00:33 1 0 1 132 0431 0.36
10:00:43 1 0 1 151 0581 0.42
10:00:47 1 0 2 102 0516 0.96
10:00:55 1 0 2 080 1498 0.50
10:00:55 1 0 1 109 0491 1.07
10:00:56 1 0 1 112 0484 0.20
10:01:13 1 0 2 102 0572 1.08
10:01:22 1 0 2 096 0540 0.98
10:01:31 1 0 2 101 0518 1.02
10:01:33 1 0 1 111 0477 0.67
10:01:36 1 0 1 124 0468 0.59
10:01:41 1 0 1 106 0490 0.61
10:01:50 1 0 2 074 1027 0.51
10:02:05 1 0 2 083 0555 1.13
