
Equipo         : CLASIFICADOR_ESPIRAS_04 
Lugar          : -35.5183, -58.2964      
Descripcion    : RP20 Ranchos            
Fecha Inicio   : 14/12/24 00:00:00       
Archivo        : REG00165.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Chascomus -Ranchos      
        VIA 2  : Ranchos - Chascomus     
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
00:00:13 1 0 2 057 0518 0.57
00:03:52 1 0 1 083 0605 0.59
00:04:42 1 0 1 066 0529 1.44
00:05:08 1 0 2 057 0529 1.26
00:07:43 1 1 2 087 0254 0.09
00:07:43 1 0 1 086 0462 0.54
00:14:42 1 0 2 038 0583 0.87
00:15:35 1 1 2 074 0261 0.08
00:15:35 1 0 1 075 0484 0.55
00:16:46 1 0 2 070 0474 1.65
00:19:21 1 0 1 091 0501 0.96
00:20:44 1 0 1 090 0499 1.17
00:21:44 1 0 1 089 0531 1.04
00:22:24 1 0 2 043 0580 0.60
00:24:35 1 0 2 076 0401 0.89
00:27:42 1 0 2 058 0507 1.32
00:31:04 1 0 1 082 0420 0.50
00:32:23 1 0 1 074 0468 0.98
00:34:29 1 0 1 085 0557 0.62
00:37:16 1 0 2 083 0479 0.51
00:38:56 1 0 1 075 0524 0.89
00:45:44 1 0 1 068 0541 1.19
00:46:26 1 0 1 067 0484 1.20
00:48:01 1 0 1 078 0502 1.19
00:53:48 1 0 1 063 0563 0.67
00:54:08 1 0 2 064 0563 0.41
00:55:30 1 0 2 072 0519 1.08
00:55:30 1 0 1 102 0533 1.32
00:55:46 1 0 1 056 0507 1.14
00:56:45 1 0 1 073 0518 0.99
00:59:06 1 0 2 025 0430 0.79
00:59:13 1 0 1 053 0587 0.74
01:00:32 1 0 1 045 0530 1.31
01:01:40 1 1 2 063 0209 0.06
01:01:40 1 0 1 063 0426 0.81
01:02:44 1 0 2 071 0517 1.39
01:03:52 1 0 1 072 0478 1.07
01:06:15 1 0 2 084 0467 0.86
01:08:37 1 1 2 097 0336 0.08
01:08:37 1 0 1 096 0573 0.55
01:09:41 1 0 1 080 0558 1.40
01:12:33 1 0 1 055 0487 1.26
01:13:52 1 1 2 075 0335 0.07
01:13:52 1 0 1 075 0558 0.86
01:16:47 1 0 1 052 0533 1.00
01:19:11 1 0 1 060 0488 1.03
01:21:58 1 0 1 061 0484 0.92
01:23:51 1 1 1 087 0330 0.21
01:23:51 1 0 2 086 0404 0.25
01:25:53 1 0 2 071 0666 0.79
01:28:30 1 0 1 088 0644 0.72
01:39:35 1 1 2 072 0266 0.06
01:39:36 1 0 1 072 0471 0.68
01:42:12 1 0 2 104 0509 1.31
01:44:59 1 1 1 111 0389 0.11
01:44:59 1 0 2 112 0511 0.74
01:47:20 1 0 1 076 0562 0.87
01:47:36 1 0 2 058 0536 0.99
