
Equipo         : CLASIFICADOR_ESPIRAS_04 
Lugar          : -35.5183, -58.2964      
Descripcion    : RP20 Ranchos            
Fecha Inicio   : 14/12/24 10:37:46       
Archivo        : REG00166.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Chascomus -Ranchos      
        VIA 2  : Ranchos - Chascomus     
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
10:39:02 1 0 1 078 0516 1.07
10:39:04 1 0 1 078 0602 0.91
10:40:59 1 0 1 078 0650 0.56
10:41:13 1 0 2 071 0480 0.77
10:41:31 1 0 1 089 0532 0.98
10:41:42 1 0 2 053 0489 1.18
10:42:30 1 0 1 070 0572 0.59
10:42:46 1 0 2 082 0595 0.70
10:42:56 1 0 2 057 0457 0.86
10:43:49 1 0 2 075 0583 1.29
10:43:52 1 0 2 053 0520 1.40
10:43:58 1 0 2 088 0500 1.11
10:44:01 1 0 1 077 0581 0.67
10:45:10 1 0 2 081 0589 0.81
10:47:45 1 0 2 071 0508 1.45
10:47:47 1 0 2 067 0476 1.16
10:48:22 1 0 1 050 0408 0.71
10:49:01 1 0 2 076 0569 0.51
10:49:05 1 0 1 064 0579 0.89
10:49:09 1 0 2 067 0588 1.11
10:49:09 1 0 1 058 0504 1.57
10:49:13 1 0 1 054 0488 1.28
10:49:33 1 0 1 049 0549 1.57
10:50:22 1 0 2 069 0780 1.08
10:50:30 1 0 1 081 0586 0.83
10:50:34 1 0 2 063 0504 1.26
10:50:36 1 0 1 077 0591 1.00
10:50:46 1 0 2 078 0513 1.10
10:51:56 1 2 1 000 0000 0.26
10:51:57 1 0 1 000 0000 0.27
10:52:06 1 0 1 024 0451 1.28
10:53:54 1 0 1 065 0458 0.79
10:53:58 1 0 1 075 0528 1.07
10:56:57 1 0 2 055 0598 0.36
10:56:59 1 0 2 057 0563 0.80
10:57:07 1 0 2 083 0517 1.10
10:57:28 1 0 1 069 0477 0.58
10:57:32 1 0 1 094 0602 0.90
10:58:08 1 0 1 111 0527 1.18
10:58:10 1 0 2 066 0495 0.82
10:58:26 1 0 1 118 0456 1.01
10:58:58 1 0 1 034 0575 0.77
10:59:46 1 0 2 079 0505 1.23
11:00:26 1 0 1 096 0585 1.11
11:01:32 1 0 2 048 0582 0.89
11:01:34 1 0 2 048 0466 1.39
11:03:40 1 0 2 056 0499 1.04
11:05:46 1 0 2 054 0515 1.36
11:06:07 1 0 2 069 0462 0.95
11:06:08 1 0 1 054 0607 0.50
11:06:16 1 0 2 057 0466 1.29
11:06:18 1 0 2 054 0151 0.10
11:07:27 1 0 1 046 0480 1.20
11:08:53 1 0 1 096 0485 0.93
11:10:18 1 0 2 076 0506 1.23
11:10:26 1 1 2 088 0191 0.06
11:10:26 1 0 1 090 0486 1.02
11:11:29 1 0 2 057 0466 1.46
